#Datasets	P10N Illumina	P10N Nanopore	P10N Illumina 16S	P10R Illumina	P10R Nanopore	P10V Illumina	P10V Nanopore	P10V Illumina 16S
"Clostridiales"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"Lachnospiraceae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Dorea"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"Negativicutes"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Veillonellales"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Veillonellaceae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Veillonella"	0.0	0.0	0.0	417.0	196.0	0.0	0.0	0.0
"Eukaryota"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Opisthokonta"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Metazoa"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Eumetazoa"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bilateria"	0.0	1.0	0.0	4.0	8.0	0.0	0.0	0.0
"Deuterostomia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Chordata"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Craniata"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Vertebrata"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Gnathostomata"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Teleostomi"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Euteleostomi"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sarcopterygii"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Dipnotetrapodomorpha"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Tetrapoda"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Amniota"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Mammalia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Theria"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Eutheria"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Boreoeutheria"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"Euarchontoglires"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
